27.18,7.46,256.00

29.14,2.50,249.94

28.16,7.46,250.95

31.10,3.49,250.95

30.12,3.49,251.96

26.20,7.46,257.01

31.10,5.48,251.96

29.14,8.45,253.98

28.16,4.48,252.97

22.28,4.48,253.98

26.20,2.50,250.95

26.20,8.45,258.02

35.02,4.48,250.95

31.10,4.48,250.95

24.24,3.49,251.96

20.32,8.45,257.01

28.16,4.48,257.01

33.06,6.47,248.93

33.06,3.49,250.95

30.12,3.49,252.97

22.28,7.46,254.99

22.28,4.48,251.96

24.24,6.47,253.98

28.16,6.47,253.98

31.10,4.48,249.94

31.10,3.49,251.96

29.14,6.47,254.99

25.22,8.45,252.97

26.20,2.50,252.97

25.22,6.47,256.00

29.14,1.51,248.93

25.22,7.46,252.97

30.12,5.48,256.00

30.12,7.46,253.98

27.18,7.46,253.98

27.18,-0.47,251.96

27.18,6.47,252.97

26.20,3.49,251.96

28.16,8.45,254.99

30.12,9.44,254.99

33.06,5.48,250.95

29.14,3.49,249.94

24.24,3.49,254.99

26.20,5.48,252.97

29.14,8.45,254.99

31.10,7.46,250.95

31.10,3.49,248.93

28.16,4.48,251.96

23.26,6.47,254.99

30.12,6.47,253.98

29.14,7.46,252.97

29.14,4.48,250.95

27.18,2.50,252.97

27.18,7.46,256.00

